Identifier	F516_21h	F516_29h	F516_33h	F516_37h	F516_41h	F516_45h	F516_49h	F516_53h	F516_57h	F517_21h	F517_29h	F517_33h	F517_37h	F517_41h	F517_45h	F517_49h	F517_53h	F517_57h	F518_21h	F518_29h	F518_33h	F518_37h	F518_41h	F518_45h	F518_49h	F518_53h	F518_57h
SCO0001	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2962962962962963	0.25925925925925924	0.0
SCO0002	1.2844394408906936	0.0	0.0	0.0	0.3658312500400642	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5527708334668807	0.0	0.9014759260327639	0.0	0.0	0.0	0.0
SCO0003	1.2844394408906936	0.0	0.0	0.0	0.3658312500400642	0.0	0.0	0.0	0.0	0.07407407407407407	2.856790516053051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2962962962962963	0.5311055556623935	0.0
SCO0004	1.2844394408906936	3.1689586097160802	1.6964635055840873	1.1164692681519641	1.4906613017662487	0.0	0.8675856482816956	1.2803210627177963	0.0	2.4159344004560435	4.378394134511352	0.9658079850759567	1.4790760335214617	0.0	2.4247485948619913	2.3849510813263675	1.4906613017662487	1.2062469886437222	3.23770421897717	1.992546415789425	0.5527708334668807	0.25925925925925924	0.2962962962962963	0.893790046416489	0.2962962962962963	0.8675856482816956	1.6134827934502651
SCO0005	1.2844394408906936	0.0	0.0	0.0	0.0	1.4790760335214617	0.8675856482816956	0.0	0.8861041668002141	0.07407407407407407	0.2962962962962963	0.9658079850759567	0.0	1.4586315141604476	1.6134827934502651	1.581097774384284	0.0	1.857807617306108	3.23770421897717	3.7521659237158262	0.5527708334668807	0.5311055556623935	0.2962962962962963	0.893790046416489	0.0	0.8675856482816956	0.0
SCO0006	1.2844394408906936	0.0	1.6964635055840873	0.0	0.0	0.0	0.35499861113782055	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0007	1.2844394408906936	0.0	1.6964635055840873	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0008	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0009	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0010	1.2844394408906936	1.8763261358246264	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.8861041668002141	0.07407407407407407	2.856790516053051	0.0	2.8042968138142936	0.0	0.0	2.3849510813263675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25925925925925924	0.0
SCO0011	1.2844394408906936	0.0	1.6964635055840873	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0012	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0013	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0014	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0015	1.2844394408906936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25925925925925924	0.0	0.0	0.0	0.0	0.0
